customer_first,customer_last,customer_email,customer_phone,customer_address,seat,show,ticket_price,date,theater,theater_address,theater_phone,theater_email
Elizabet,Meininger,emeininger5d@shutterfly.com,939-705-2658,86 Summer Ridge Road,A1,Stop. Just Stop.,17.35,2021-12-21,Little Fitz,"10 E Exchange St, St Paul, MN 55101",(651) 555-5555,little.fitz@rcttc.com
Elizabet,Meininger,emeininger5d@shutterfly.com,939-705-2658,86 Summer Ridge Road,A2,Stop. Just Stop.,17.35,2021-12-21,Little Fitz,"10 E Exchange St, St Paul, MN 55101",(651) 555-5555,little.fitz@rcttc.com
Elizabet,Meininger,emeininger5d@shutterfly.com,939-705-2658,86 Summer Ridge Road,A3,Stop. Just Stop.,17.35,2021-12-21,Little Fitz,"10 E Exchange St, St Paul, MN 55101",(651) 555-5555,little.fitz@rcttc.com
Wilt,Giaomozzo,wgiaomozzo7u@vistaprint.com,759-722-5091,5495 Hoepker Road,A4,Stop. Just Stop.,17.35,2021-12-21,Little Fitz,"10 E Exchange St, St Paul, MN 55101",(651) 555-5555,little.fitz@rcttc.com
Wilt,Giaomozzo,wgiaomozzo7u@vistaprint.com,759-722-5091,5495 Hoepker Road,B1,Stop. Just Stop.,17.35,2021-12-21,Little Fitz,"10 E Exchange St, St Paul, MN 55101",(651) 555-5555,little.fitz@rcttc.com
Wilt,Giaomozzo,wgiaomozzo7u@vistaprint.com,759-722-5091,5495 Hoepker Road,B2,Stop. Just Stop.,17.35,2021-12-21,Little Fitz,"10 E Exchange St, St Paul, MN 55101",(651) 555-5555,little.fitz@rcttc.com
Elicia,Heymann,eheymann22@github.com,129-168-4725,9891 Burning Wood Parkway,B3,Stop. Just Stop.,17.35,2021-12-21,Little Fitz,"10 E Exchange St, St Paul, MN 55101",(651) 555-5555,little.fitz@rcttc.com
Erasmus,Tighe,etighebu@google.it,468-250-2065,09 Spohn Place,B4,Stop. Just Stop.,17.35,2021-12-21,Little Fitz,"10 E Exchange St, St Paul, MN 55101",(651) 555-5555,little.fitz@rcttc.com
Kacy,Seeman,kseemanqi@europa.eu,465-210-2818,6 Huxley Road,C1,Stop. Just Stop.,17.35,2021-12-21,Little Fitz,"10 E Exchange St, St Paul, MN 55101",(651) 555-5555,little.fitz@rcttc.com
Kacy,Seeman,kseemanqi@europa.eu,465-210-2818,6 Huxley Road,C2,Stop. Just Stop.,17.35,2021-12-21,Little Fitz,"10 E Exchange St, St Paul, MN 55101",(651) 555-5555,little.fitz@rcttc.com
Rawley,Cridge,rcridgepf@smh.com.au,517-853-7604,043 Bunting Court,C3,Stop. Just Stop.,17.35,2021-12-21,Little Fitz,"10 E Exchange St, St Paul, MN 55101",(651) 555-5555,little.fitz@rcttc.com
Rawley,Cridge,rcridgepf@smh.com.au,517-853-7604,043 Bunting Court,C4,Stop. Just Stop.,17.35,2021-12-21,Little Fitz,"10 E Exchange St, St Paul, MN 55101",(651) 555-5555,little.fitz@rcttc.com
Laryssa,Blankley,lblankleyeg@so-net.ne.jp,973-269-0728,760 Bluejay Center,A2,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Jammie,Swindles,jswindlesd9@studiopress.com,801-514-8648,08 Mcbride Center,A3,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Jammie,Swindles,jswindlesd9@studiopress.com,801-514-8648,08 Mcbride Center,A4,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Jammie,Swindles,jswindlesd9@studiopress.com,801-514-8648,08 Mcbride Center,A5,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Jammie,Swindles,jswindlesd9@studiopress.com,801-514-8648,08 Mcbride Center,A6,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Siegfried,Daymont,sdaymontcw@amazon.com,732-737-5291,88 Mitchell Alley,A7,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Siegfried,Daymont,sdaymontcw@amazon.com,732-737-5291,88 Mitchell Alley,A8,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Merissa,Strelitzki,mstrelitzkiny@facebook.com,,0 Pennsylvania Alley,B1,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Gertruda,Friedenbach,gfriedenbachey@intel.com,,,B2,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Gertruda,Friedenbach,gfriedenbachey@intel.com,,,B3,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Gertruda,Friedenbach,gfriedenbachey@intel.com,,,B4,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Gertruda,Friedenbach,gfriedenbachey@intel.com,,,B5,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Willdon,Eldered,weldered1q@google.com.br,160-171-6278,8954 Chive Drive,B6,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Willdon,Eldered,weldered1q@google.com.br,160-171-6278,8954 Chive Drive,B7,Burr,21.50,2021-03-01,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Bethany,Koene,bkoeneia@google.com.br,,68 Longview Place,A1,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Bethany,Koene,bkoeneia@google.com.br,,68 Longview Place,A2,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Bethany,Koene,bkoeneia@google.com.br,,68 Longview Place,A3,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Bethany,Koene,bkoeneia@google.com.br,,68 Longview Place,A4,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Winny,Sheather,wsheather1k@rambler.ru,,,A5,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Winny,Sheather,wsheather1k@rambler.ru,,,A6,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Winny,Sheather,wsheather1k@rambler.ru,,,A7,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Winny,Sheather,wsheather1k@rambler.ru,,,A8,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Hulda,McEwan,hmcewan2e@bravesites.com,,26 Pleasure Circle,B1,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Hulda,McEwan,hmcewan2e@bravesites.com,,26 Pleasure Circle,B2,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Hulda,McEwan,hmcewan2e@bravesites.com,,26 Pleasure Circle,B3,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Benjamin,Court,bcourtnb@geocities.jp,101-417-7055,3037 Forest Dale Parkway,B4,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Benjamin,Court,bcourtnb@geocities.jp,101-417-7055,3037 Forest Dale Parkway,B5,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Benjamin,Court,bcourtnb@geocities.jp,101-417-7055,3037 Forest Dale Parkway,B6,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Benjamin,Court,bcourtnb@geocities.jp,101-417-7055,3037 Forest Dale Parkway,B7,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Anissa,Truman,atruman9n@skype.com,,00329 Cardinal Alley,B8,Burr,21.50,2021-09-24,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Oliy,O'Kenny,ookennyh3@springer.com,,9 Sherman Center,A1,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Oliy,O'Kenny,ookennyh3@springer.com,,9 Sherman Center,A2,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Oliy,O'Kenny,ookennyh3@springer.com,,9 Sherman Center,A3,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Oliy,O'Kenny,ookennyh3@springer.com,,9 Sherman Center,A4,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Liv,Egle of Germany,legleofgermanybh@blinklist.com,280-270-5128,76 Summit Place,A5,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Liv,Egle of Germany,legleofgermanybh@blinklist.com,280-270-5128,76 Summit Place,A6,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Keelby,Hargey,khargeyi3@ycombinator.com,,0 Lien Hill,A7,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Keelby,Hargey,khargeyi3@ycombinator.com,,0 Lien Hill,A8,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Keelby,Hargey,khargeyi3@ycombinator.com,,0 Lien Hill,B1,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Rachel,Goudie,rgoudie6j@google.it,,52142 Hanover Avenue,B2,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Husain,Scheu,hscheujs@ovh.net,,1 Oneill Terrace,B3,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Husain,Scheu,hscheujs@ovh.net,,1 Oneill Terrace,B4,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Husain,Scheu,hscheujs@ovh.net,,1 Oneill Terrace,B5,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Husain,Scheu,hscheujs@ovh.net,,1 Oneill Terrace,B6,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Ogdon,Southworth,osouthworthcl@jalbum.net,476-643-3909,1276 Oneill Point,B7,Caddyshack,15.25,2021-01-04,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Chue,Tibbles,ctibbles27@purevolume.com,,888 Maple Wood Plaza,A1,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Chue,Tibbles,ctibbles27@purevolume.com,,888 Maple Wood Plaza,A2,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Abby,Hanssmann,ahanssmannds@slideshare.net,411-300-6923,83935 Farwell Center,A3,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Abby,Hanssmann,ahanssmannds@slideshare.net,411-300-6923,83935 Farwell Center,A4,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Abby,Hanssmann,ahanssmannds@slideshare.net,411-300-6923,83935 Farwell Center,A5,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Lotte,Peace,lpeaceba@123-reg.co.uk,563-440-4892,84074 Lakeland Pass,A6,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Lotte,Peace,lpeaceba@123-reg.co.uk,563-440-4892,84074 Lakeland Pass,A7,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Lotte,Peace,lpeaceba@123-reg.co.uk,563-440-4892,84074 Lakeland Pass,A8,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Jammie,Swindles,jswindlesd9@studiopress.com,801-514-8648,08 Mcbride Center,B1,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Jammie,Swindles,jswindlesd9@studiopress.com,801-514-8648,08 Mcbride Center,B2,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Jammie,Swindles,jswindlesd9@studiopress.com,801-514-8648,08 Mcbride Center,B3,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Jammie,Swindles,jswindlesd9@studiopress.com,801-514-8648,08 Mcbride Center,B4,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Maggi,Ludlow,mludlow5k@skype.com,457-949-2916,39 Colorado Drive,B5,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Maggi,Ludlow,mludlow5k@skype.com,457-949-2916,39 Colorado Drive,B6,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
Flore,Wiltshear,fwiltshearop@flickr.com,,76 Marcy Alley,B7,Hair,14.75,2021-12-21,Horizon,"70 Meadow Valley Parkway, Saint Paul, MN 55103",(651) 555-5555,horizon@rcttc.com
